"institute_name","Total_cases_to_date","Total_students_to_date","Total_staff_to_date","Date","Article","Total_outbreaks_to_date","Outbreak_dates","Outbreak_Status","School_board","Type_of_school","City","Province","Latitude","Longitude","Is_Single","Is_Outbreak","Is_Cluster","Last_Reported_Date","Difference_In_Days","Total_Cases_Summed"
"John F. Ross Collegiate Vocational Institute","1 ; 1 ; 1",NA,NA,"2020-10-15 ; 2020-12-19 ; 2020-12-22","https://masks4canada.org/2020/10/15/covid-19-school-report-john-f-ross-cvi/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-20T1630.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-24T1630.html#Hamilton-Wentworth_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","Secondary","Guelph","ON",43.5614365,-80.2466244,0,0,0,"2020-12-22",48,3
"Norwell District Secondary School","1 ; 1 ; 1",NA,NA,"2020-10-15 ; 2020-12-13 ; 2021-01-21","https://masks4canada.org/2020/10/15/covid-19-school-report-norwell-district-ss/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2021-01-22T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","Secondary","Palmerston","ON",43.8336036,-80.8442138,0,0,0,"2021-01-21",18,3
"Glenbrook Elementary School","1 ; 1 ; 1",NA,NA,"2020-09-25 ; 2020-11-27 ; 2020-12-10","https://masks4canada.org/2020/09/30/covid-19-school-report-glenbrook-es/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-28T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-11T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","Elementary","Shelburne","ON",44.0867775,-80.2024027,0,0,0,"2020-12-10",60,3
"June Avenue Public School","1",NA,NA,"2020-09-30","https://masks4canada.org/2020/10/01/covid-19-school-report-june-avenue-ps/",0,NA,"Single/unlinked cases","Upper Grand DSB","Elementary","Guelph","ON",43.5549991,-80.2752515,0,0,0,"2020-09-30",131,1
"Princess Elizabeth Public School","1",NA,NA,"2020-09-30","https://masks4canada.org/2020/10/01/covid-19-school-response-princess-elizabeth-ps/;https://masks4canada.org/2020/10/23/covid-19-school-report-princess-elizabeth-ps/",1,"2020-09-30","Declared outbreak","Upper Grand DSB","Elementary","Orangeville","ON",43.919808,-80.106007,0,0,0,"2020-09-30",131,1
"Ecole Arbour Vista Public School","1 ; 1",NA,NA,"2020-10-02 ; 2020-12-22","https://masks4canada.org/2020/10/03/covid-19-school-report-upper-grand-dsb/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","Elementary","Guelph","ON",43.5310418,-80.2032455,0,0,0,"2020-12-22",48,2
"Waverley Drive Public School","1 ; 2 ; 1",NA,NA,"2020-10-04 ; 2020-10-08 ; 2020-11-15","https://masks4canada.org/2020/10/05/covid-19-school-repor-waverly-drive-ps/; https://masks4canada.org/2020/10/13/covid-19-school-report-waverley-drive-ps/;https://masks4canada.org/2020/10/23/covid-19-school-report-waverley-ps/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-16T1545.html#Upper_Grand_DSB_changed",1,"2020-10-08","Declared outbreak","Upper Grand DSB","Elementary","Guelph","ON",43.5730719,-80.2594843,0,0,0,"2020-11-15",85,4
"Guelph Collegiate Vocational Institute","1 ; 1 ; 1 ; 1",NA,NA,"2020-10-09 ; 2020-10-13 ; 2020-10-21 ; 2020-12-03","https://masks4canada.org/2020/10/10/covid-19-school-report-guelph-collegiate-vocational-institute/ ;https://masks4canada.org/2020/10/13/covid-19-school-report-guelph-collegiate-vocational-institute-2/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-21T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-04T1545.html#Thames_Valley_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","Secondary","Guelph","ON",43.5426623,-80.2598665,0,0,0,"2020-12-03",67,4
"Victory Public School","1",NA,NA,"2020-10-09","https://masks4canada.org/2020/10/13/covid-19-school-report-victory-ps/",0,NA,"Single/unlinked cases","Upper Grand DSB","Elementary","Guelph","ON",43.5520975,-80.2633199,0,0,0,"2020-10-09",122,1
"Montgomery Village Public School","2 ; 1",NA,NA,"2020-10-13 ; 2020-11-26","https://masks4canada.org/2020/10/15/covid-19-school-report-montgomery-village-ps/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","Elementary","Orangeville","ON",43.9073467,-80.1262492,0,0,0,"2020-11-26",74,3
"Kortright Hills Public School","1",NA,NA,"2020-10-16","https://masks4canada.org/2020/10/18/covid-19-school-report-kortright-hills-ps/",0,NA,"Single/unlinked cases","Upper Grand DSB","Elementary","Guelph","ON",43.4998932,-80.2404444,0,0,0,"2020-10-16",115,1
"Willow Road Public School","1",NA,NA,"2020-10-22","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-23T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","Elementary","Guelph","ON",43.543529,-80.2767621,0,0,0,"2020-10-22",109,1
"Career Education Council","1",NA,NA,"2020-11-05","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-07T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph","ON",43.5228155,-80.2781416,0,0,0,"2020-11-05",95,1
"Island Lake Public School","1",NA,NA,"2020-11-12","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-13T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Orangeville","ON",43.9215754,-80.0757552,0,0,0,"2020-11-12",88,1
"Wellington Heights High School","1 ; 1 ; 1",NA,NA,"2020-11-16 ; 2020-11-21 ; 2020-11-28","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-18T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-22T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-29T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Township of Southgate","ON",43.9909328,-80.7362335,0,0,0,"2020-11-28",72,3
"Westminster Woods Public School","1","1",NA,"2020-11-21","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-22T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph","ON",43.5098,-80.1801142,0,0,0,"2020-11-21",79,1
"Maryborough Public School","1 ; 1","1",NA,"2020-11-22 ; 2021-01-24","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-23T1545.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2021-01-25T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Moorefield","ON",43.7649666,-80.7439159,0,0,0,"2021-01-24",15,2
"Minto-Clifford Public School","1 ; 2 ; 3",NA,NA,"2020-11-22 ; 2020-11-27 ; 2020-12-07","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-23T1545.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-28T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Upper_Grand_DSB_changed",1,"2020-11-27","Declared outbreak","Upper Grand DSB","TBA","Harriston","ON",43.9177893,-80.8673821,0,0,0,"2020-12-07",63,6
"Centennial Hylands Elementary School","1 ; 2 ; 3",NA,NA,"2020-11-25 ; 2020-11-28 ; 2020-11-30","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-25T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-29T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-01T1545.html#Upper_Grand_DSB_changed ;https://masks4canada.org/2020/12/02/covid-19-school-report-cases-and-outbreaks/",1,"2020-11-28","Declared outbreak","Upper Grand DSB","TBA","Shelburne","ON",44.0786287,-80.1907797,0,0,0,"2020-11-30",70,6
"Victoria Cross Public School","1",NA,NA,"2020-11-25","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-25T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Wellington North","ON",43.9816254,-80.743227,0,0,0,"2020-11-25",75,1
"Centre Dufferin District High School","1 ; 1",NA,NA,"2020-11-28 ; 2020-12-09","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-29T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-10T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Shelburne","ON",44.082481,-80.2086011,0,0,0,"2020-12-09",61,2
"Guelph Lake Public School","1",NA,NA,"2020-11-28","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-29T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph/Eramosa","ON",43.5803967,-80.2269328,0,0,0,"2020-11-28",72,1
"Grand Valley & District Public School","1 ; 2",NA,NA,"2020-11-29 ; 2020-12-04","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-05T1545.html#Upper_Grand_DSB_changed;https://masks4canada.org/2020/12/08/covid-19-school-report-cases-and-outbreaks-2/",1,"2020-12-04","Declared outbreak","Upper Grand DSB","TBA","Grand Valley","ON",43.9030782,-80.3166972,0,0,0,"2020-12-04",66,3
"Primrose Elementary School","1",NA,NA,"2020-11-30","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-01T1545.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Mulmur","ON",44.0970059,-80.1413778,0,0,0,"2020-11-30",70,1
"Centennial Collegiate Vocational Institute","2 ; 1 ; 2 ; 1",NA,NA,"2020-11-30 ; 2020-12-03 ; 2020-12-16 ; 2020-12-18","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-01T1545.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-04T1545.html#Upper_Grand_DSB_changed ;https://masks4canada.org/2020/12/08/covid-19-school-report-cases-and-outbreaks-2/; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-17T1630.html#Upper_Grand_DSB_changed ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-19T1630.html#Upper_Grand_DSB_changed",1,"2020-12-04","Declared outbreak","Upper Grand DSB","TBA","Guelph","ON",43.5215631,-80.2481791,0,0,0,"2020-12-18",52,6
"Mitchell Woods Public School","1 ; 1 ; 2",NA,NA,"2020-12-06 ; 2020-12-13 ; 2020-12-15","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph","ON",43.5272717,-80.2942359,0,0,0,"2020-12-15",55,4
"John McCrae Public School","1 ; 1",NA,NA,"2020-12-06 ; 2020-12-14","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html#Upper_Grand_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph","ON",43.5347614,-80.2477374,0,0,0,"2020-12-14",56,2
"Spencer Avenue Elementary School","1 ; 1",NA,NA,"2020-12-07 ; 2020-12-10","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-11T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Orangeville","ON",43.8980578,-80.1279414,0,0,0,"2020-12-10",60,2
"Erin District High School","1 ; 1",NA,NA,"2020-12-07 ; 2020-12-10","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-11T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Erin","ON",43.7788464,-80.0678383,0,0,0,"2020-12-10",60,2
"Paisley Road Public School","1 ; 1",NA,NA,"2020-12-10 ; 2020-12-15","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-11T1630.html#Upper_Grand_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph","ON",43.5374305,-80.2665515,0,0,0,"2020-12-15",55,2
"Drayton Heights Public School","6",NA,NA,"2020-12-13","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Drayton","ON",43.7513763,-80.6735252,0,0,0,"2020-12-13",57,6
"Centre Wellington District High School","1 ; 3 ; 1",NA,NA,"2020-12-13 ; 2020-12-18 ; 2020-12-20","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Upper_Grand_DSB_changed; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-19T1630.html#Upper_Grand_DSB_changed ; https://masks4canada.org/2020/12/21/covid-19-school-report-cases-and-outbreaks-3/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-22T1630.html#Upper_Grand_DSB_changed",1,"2020-12-18","Declared outbreak","Upper Grand DSB","TBA","Centre Wellington","ON",43.701768,-80.3566874,0,0,0,"2020-12-20",50,5
"Rickson Ridge Public School","1",NA,NA,"2020-12-15","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html#Upper_Grand_DSB_changed",0,NA,"Single/unlinked cases","Upper Grand DSB","TBA","Guelph","ON",43.5133119,-80.2127163,0,0,0,"2020-12-15",55,1
"John Sweeney Catholic School","1 ; 1 ; 1 ; 2 ; 2 ; 1","1 ; 2 ; 2","1 ; 1 ; 1","2020-11-18 ; 2020-11-26 ; 2020-12-11 ; 2020-12-13 ; 2020-12-21 ; 2020-12-24","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-19T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-12T1630.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-26T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Kitchener","ON",43.4073543,-80.5117976,0,0,0,"2020-12-24",46,8
"St. Teresa of Calcutta Catholic Elementary School","1","1",NA,"2020-11-14","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-15T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","City of Cambridge","ON",43.390561,-80.2831819,0,0,0,"2020-11-14",86,1
"St. Dominic Savio Catholic School","1 ; 1 ; 1","1 ; 1","1","2020-11-02 ; 2020-12-20 ; 2020-12-26","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-03T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-21T1630.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-27T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Kitchener","ON",43.43375,-80.540769,0,0,0,"2020-12-26",44,3
"Resurrection Catholic Secondary School","1 ; 1 ; 1 ; 2 ; 1","1 ; 1 ; 1 ; 2 ; 1",NA,"2020-10-18 ; 2020-11-26 ; 2020-12-14 ; 2020-12-21 ; 2020-12-24","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-19T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-15T1630.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-26T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","Secondary","Kitchener","ON",43.4405344,-80.5468556,0,0,0,"2020-12-24",46,6
"St. Anne Catholic Elementary School","1 ; 1",NA,"1","2020-09-16 ; 2020-11-25","https://www.wcdsb.ca/covid-19-advisories/ ;https://kitchener.ctvnews.ca/cambridge-kindergarten-class-has-first-confirmed-covid-19-case-in-a-student-1.5108082;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-26T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","Elementary","Cambridge","ON",43.3655557,-80.298922,0,0,0,"2020-11-25",75,2
"St. David Catholic Secondary School","1 ; 1 ; 1","1 ; 1 ; 1",NA,"2020-09-23 ; 2020-10-26 ; 2020-11-16","https://masks4canada.org/2020/09/24/waterloo-cdsb-2020-09-23/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-27T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-17T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","Secondary","Waterloo","ON",43.484228,-80.5294301,0,0,0,"2020-11-16",84,3
"St. Margaret of Scotland Catholic Elementary School","1 ; 1 ; 1","1 ; 1 ; 1",NA,"2020-10-13 ; 2020-10-14 ; 2020-12-22","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-13T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-14T2034.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-23T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","Elementary","Cambridge","ON",43.3892662,-80.2981737,0,0,0,"2020-12-22",48,3
"Holy Spirit Catholic Elementary School","1 ; 1 ; 1","1 ; 1 ; 1",NA,"2020-10-26 ; 2020-10-30 ; 2020-12-24","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-27T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-31T1545.html#Waterloo_CDSB_changed ; https://masks4canada.org/2020/11/02/covid-19-school-report-waterloo-region-outbreak/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-26T1630.html#Waterloo_CDSB_changed",1,"2020-10-20","Declared outbreak","Waterloo CDSB","Elementary","Cambridge","ON",43.3439334,-80.2805167,0,0,0,"2020-12-24",46,3
"Saint John Paul II School","1","1",NA,"2020-10-24","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-24T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","Elementary","Kitchener","ON",43.4489875,-80.4114098,0,0,0,"2020-10-24",107,1
"St. Mary's High School","1 ; 2 ; 1 ; 1","1 ; 2 ; 1","1","2020-11-06 ; 2020-11-08 ; 2020-11-29 ; 2020-12-05","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-08T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Kitchener","ON",43.4202176,-80.4670935,0,0,0,"2020-12-05",65,5
"Our Lady of Fatima Catholic Elementary School","1","1",NA,"2020-11-07","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Cambridge","ON",43.4326071,-80.2992681,0,0,0,"2020-11-07",93,1
"St. Benedict Catholic Secondary School","1 ; 1 ; 1 ; 1","1 ; 1 ; 1","1","2020-11-11 ; 2020-12-03 ; 2020-12-10 ; 2020-12-23","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-12T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-04T1545.html#Waterloo_CDSB_changed ;  https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-11T1630.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-24T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Cambridge","ON",43.3929749,-80.300535,0,0,0,"2020-12-23",47,4
"St. Gabriel CES","1 ; 1 ; 2","1 ; 1 ; 2",NA,"2020-11-12 ; 2020-12-03 ; 2020-12-08","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-13T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-04T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-09T1730.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","City of Cambridge","ON",43.441757,-80.3134538,0,0,0,"2020-12-08",62,4
"Saint Mark Catholic Elementary School","1 ; 1","1","1","2020-11-15 ; 2020-12-26","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-16T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-27T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Kitchener","ON",43.420678,-80.5311356,0,0,0,"2020-12-26",44,2
"Blessed Sacrament Catholic Elementary School","1 ; 1","1","1","2020-11-17; 2020-11-22","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-18T1545.html#Waterloo_CDSB_changed;https://masks4canada.org/2020/11/23/covid-19-school-report-blessed-sacrement-ces-outbreak/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-22T1545.html#Waterloo_CDSB_changed",1,"2020-11-17","Declared outbreak","Waterloo CDSB","TBA","Kitchener","ON",43.407228,-80.483457,0,0,0,"2020-11-22",78,2
"Saint Michael Catholic Elementary School","1 ; 1","1 ; 1",NA,"2020-11-22 ; 2020-11-29","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-24T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Cambridge","ON",43.3961913,-80.3460273,0,0,0,"2020-11-29",71,2
"St. Bernadette Catholic School","1 ; 2 ; 3","1 ; 3","1 ; 1","2020-11-23 ; 2020-11-25 ; 2020-11-29","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-24T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-26T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Waterloo_CDSB_changed",1,"2020-11-25","Declared outbreak","Waterloo CDSB","TBA","Kitchener","ON",43.433874,-80.492392,0,0,0,"2020-11-29",71,6
"St Matthew Catholic Elementary School","1 ; 1","1 ; 1",NA,"2020-11-25 ; 2020-12-23","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-26T1545.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-24T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Waterloo","ON",43.4954648,-80.493907,0,0,0,"2020-12-23",47,2
"St Boniface School","1","1",NA,"2020-11-26","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Woolwich","ON",43.536101,-80.3927864,0,0,0,"2020-11-26",74,1
"St. Gregory Catholic School","1 ; 1","1","1","2020-12-02 ; 2020-12-18","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-03T1737.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-19T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","City of Cambridge","ON",43.349649,-80.327149,0,0,0,"2020-12-18",52,2
"Our Lady of Lourdes School","1",NA,"1","2020-12-07","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","Waterloo","ON",43.459139,-80.5304737,0,0,0,"2020-12-07",63,1
"St Brigid Catholic School","1",NA,"1","2020-12-08","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-09T1730.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","North Dumfries","ON",43.2905041,-80.4610888,0,0,0,"2020-12-08",62,1
"St. Vincent De Paul Catholic Elementary School","1 ; 1 ; 1","1 ; 1 ; 1",NA,"2020-12-10 ; 2020-12-13 ; 2020-12-16","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-11T1630.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-17T1630.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","TBA","City of Cambridge","ON",43.3466121,-80.2902901,0,0,0,"2020-12-16",54,3
"St. Daniel Catholic Elementary School","1 ; 1","1 ; 1",NA,"2020-12-15 ; 2020-12-16","https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html#Waterloo_CDSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-17T1545.html#Waterloo_CDSB_changed ; https://drive.google.com/file/d/1yfvKKlNHT71usqf3ZC1uwcTrlfQ5RE_Q/view?usp=sharing",1,"2020-12-21","Declared outbreak","Waterloo CDSB","TBA","Kitchener","ON",43.4484858,-80.4482107,0,0,0,"2020-12-16",54,2
