"institute.name","Total.cases.to.date","Total.students.to.date","Total.staff.to.date","Date","Article","Total.outbreaks.to.date","Outbreak.dates","Outbreak.Status","School.board","Type_of_school","City","Province","Latitude","Longitude"
"École élémentaire catholique Au Coeur d'Ottawa","1","1",NA,"2020-09-19","https://www.ecolecatholique.ca/fr/Cas-De-Covid19_379;https://www.ontario.ca/page/covid-19-cases-schools-and-child-care-centres; https://masks4canada.org/2020/09/22/covid-19-school-report-cecce-schools-september-21-2020/",0,NA,"Single/unlinked cases","CECCE","Elementary","Ottawa","ON",45.4117192,-75.679923
"Maple Grove Public School","1 ; 1","NA ; 1",NA,"2020-09-21 ; 2020-12-21","https://hdsb.ca/students/Pages/Health%20and%20Well-Being/COVID-19/COVID-19-Advisory.aspx;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-21T1630.html",0,NA,"Single/unlinked cases","Halton DSB","Mixed","Oakville","ON",43.4728634,-79.651
"Sunningdale Public School","2",NA,NA,"2020-09-21","https://hdsb.ca/students/Pages/Health%20and%20Well-Being/COVID-19/COVID-19-Advisory.aspx;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-09-24T2226.html",0,NA,"Single/unlinked cases","Halton DSB","Mixed","Oakville","ON",43.4587176,-79.7120733
"Russell Reid Public School","1",NA,"1","2020-09-18","https://granderie.ca/board/parentportal/covid-19-in-grand-erie-schools/covid-19-outbreak-reports-elementary-schools;https://masks4canada.org/2020/09/22/covid-19-school-report-russel-reid/",0,NA,"Single/unlinked cases","Grand Erie DSB","Elementary","Brantford","ON",43.1718698,-80.2882656
"Mary Ward Catholic Elementary School","1",NA,NA,"2020-09-21","https://niagaracatholic.ca/covid-19-advisories/;https://masks4canada.org/2020/09/22/covid-19-school-report-mary-ward-catholic/",0,NA,"Single/unlinked cases","Niagara CDSB","Elementary","Niagara Falls","ON",43.128664,-79.113094
"St. John Vianney Catholic School","1",NA,NA,"2020-09-21","https://masks4canada.org/2020/09/23/covid19-school-report-st-john-vianney-catholic-school-september-22-2020/",0,NA,"Single/unlinked cases","Simcoe Muskoka CDSB","Mixed","Barrie","ON",44.3669791,-79.6914349
"Father F X O'Reilly School","1 ; 1 ; 1",NA,NA,"2020-09-21 ; 2020-10-13 ; 2020-11-02","https://www.smcdsb.on.ca/school_re-_opening/c_o_v_i_d-19_advisory_school_status;https://masks4canada.org/2020/09/22/covid-19-school-report-simcoe-muskoka-cdsb/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-13T1545.html#Simcoe_Muskoka_CDSB;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-02T1545.html#Simcoe_Muskoka_CDSB_changed",0,NA,"Single/unlinked cases","Simcoe Muskoka CDSB","Elementary","Tottenham","ON",44.032166,-79.808554
"St. Anthony of Padua Catholic Elementary School","1 ; 1 ; 1",NA,NA,"2020-09-21 ; 2020-09-28 ; 2020-12-02","https://learnathome.hcdsb.org/covid-19-advisory-board/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-09-28T1627.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-02T1545.html",0,NA,"Single/unlinked cases","Halton CDSB","Elementary","Milton","ON",43.527896,-79.852699
"École élémentaire catholique George-Étienne-Cartier","1;1;1;1","NA;NA;NA;NA","NA;1;NA;NA","2020-09-19; 2020-10-01;2020-10-21;2020-10-27","https://www.ecolecatholique.ca/fr/Cas-De-Covid19_379;https://masks4canada.org/2020/09/22/covid-19-school-report-cecce-schools-september-21-2020/;https://masks4canada.org/2020/10/01/covid19-school-report-cecce-schools-oct-1-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-21T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-27T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",1,"2020-10-27","Declared outbreak","CECCE","Elementary","Ottawa","ON",45.3633335,-75.6727002
"Elementary School Antonine-Maillet","1","1",NA,"2020-09-21","https://masks4canada.org/2020/09/22/covid-19-school-report-cs-viamonde/",0,"","Single/unlinked cases","CS Viamonde","Elementary","Oshawa","ON",43.9003747,-78.8896062
"Kingsville District High School","1",NA,NA,"2020-09-20","https://masks4canada.org/2020/09/22/covid-19-school-report-kingsville-district/",0,NA,"Single/unlinked cases","Greater Essex County DSB","Secondary","Kingsville","ON",42.0390623,-82.7313577
"Elementary School Catholic Horizon-Jeunesse","1;1;4;1","NA; NA;3;NA","NA; 1;1;NA","2020-09-21; 2020-09-24;2020-10-06;2020-12-03","https://masks4canada.org/2020/09/22/covid-19-school-report-cecce-schools-september-21-2020/;https://masks4canada.org/2020/09/25/covid19-school-report-cecce-schools-reported-by-ontario-phu/;https://masks4canada.org/2020/10/06/covid19-school-report-cecce-schools-oct-6-2020-reported-by-ontario-phu/;https://masks4canada.org/2020/10/06/covid19-school-report-ottawa-outbreak-list-oct-6-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-03T1737.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",1,"2020-10-04","Declared outbreak","CECCE","Elementary","Ottawa","ON",45.4325053,-75.6590595
"Bear Creek Secondary School","1 ; 1 ; 1 ; 1 ; 2 ; 2",NA,NA,"2020-09-21 ; 2020-11-09 ; 2020-12-02 ; 2020-12-04 ; 2020-12-07 ; 2020-12-10","https://masks4canada.org/2020/09/22/covid-19-school-report-bear-creek-ss/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-09T1545.html#Simcoe_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-02T1545.html#Simcoe_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-04T1545.html#Simcoe_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html#Simcoe_County_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-10T1630.html#Simcoe_County_DSB_changed",0,NA,"Single/unlinked cases","Simcoe County DSB","Secondary","Barrie","ON",44.3315669,-79.7337015
"Ecole secondaire publique GisÃ¨le-Lalonde","1;2;1;1","1;2;NA;1","NA;NA;1;NA","2020-09-21;2020-10-13;2020-10-28;2020-10-30","https://masks4canada.org/2020/09/22/covid19-school-report-cepeo-schools-september-21-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-13T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-28T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-30T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed",0,NA,"Single/unlinked cases","CEPEO","Secondary","Ottawa","ON",45.4689434,-75.4454481
"École élémentaire publique Marie-Curie","1;2;2","1;2;2","NA;NA;NA","2020-09-21;2020-10-02;2020-12-14","https://masks4canada.org/2020/09/22/covid19-school-report-cepeo-schools-september-21-2020/;https://masks4canada.org/2020/10/02/covid19-school-report-cepeo-schools-oct-2-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-14T1630.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed",0,NA,"Single/unlinked cases","CEPEO","Elementary","Ottawa","ON",45.3986114,-75.6307305
"École élémentaire publique Ottawa Ouest","1;2;1","1;2;1","NA;NA;NA","2020-09-21;2020-10-27;2020-12-07","https://masks4canada.org/2020/09/22/covid19-school-report-cepeo-schools-september-21-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-27T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-07T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed",0,NA,"Single/unlinked cases","CEPEO","Elementary","Ottawa","ON",45.336535,-75.7888683
"Centre éducatif Séraphin-Marion","1;2;3;1;1;1;1;1","1;NA;2;NA;NA;NA;1;1","NA;NA;1;1;1;1;NA;NA","2020-09-21; 2020-09-23; 2020-09-24;2020-10-06;2020-10-08;2020-10-13;2020-10-20;2020-10-27","https://masks4canada.org/2020/09/22/covid19-school-report-cepeo-schools-september-21-2020/;https://masks4canada.org/2020/09/24/covid19-school-report-cepeo-schools-sep-23-2020/;https://masks4canada.org/2020/09/25/covid19-school-report-cepeo-schools-sep-24-2020/;https://masks4canada.org/2020/09/25/covid19-school-report-ottawa-phu-outbreak-list-sep-25-2020/;https://masks4canada.org/2020/10/06/covid-19-school-report-cepeo-schools-oct-6-2020/;https://masks4canada.org/2020/10/09/covid19-school-report-cepeo-schools-oct-8-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-13T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-20T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-27T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed",1,"2020-09-23","Declared outbreak","CEPEO","Elementary","Ottawa","ON",45.4524996,-75.5923512
"École élémentaire catholique Embrun, Pavillon Saint-Jean (CSDCEO)","1",NA,NA,"2020-09-21","https://masks4canada.org/2020/09/22/covid19-school-report-csdceo-pavillon-st-jean-september-21-2020/",1,"2020-09-21","Declared outbreak","CSDCEO","Elementary","Ottawa","ON",45.2747364,-75.2738623
"École élémentaire catholique Lamoureux, centre d'enseignement personnalisé","2;1;1;1","NA;NA;NA;NA","2;1;NA;NA","2020-09-25; 2020-10-08;2020-12-02;2020-12-10","https://masks4canada.org/2020/09/25/covid19-school-report-cecce-schools-sep-25-2020/;https://masks4canada.org/2020/10/08/covid19-school-report-cecce-schools-reported-by-ontario-phu-oct-8-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-02T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-10T1630.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-13T1630.html#Ottawa_PHU_changed",1,"2020-12-10","Declared outbreak","CECCE","Elementary","Ottawa","ON",45.3738083,-75.6716716
"Riverside Public School","1 ; 1","1 ; 1",NA,"2020-09-21 ; 2020-11-29","https://www.cbc.ca/news/canada/kitchener-waterloo/elmira-riverside-public-school-covid-19-case-1.5732072;https://masks4canada.org/2020/09/22/covid19-school-report-wrdsb-riverside-public-school/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","Elementary","Elmira","ON",43.604217,-80.5709464
"Huron Heights Secondary School","1 ; 1 ; 1 ; 1 ; 1 ; 1","1 ; 1 ; 1 ; 1 ; 1 ; 1",NA,"2020-09-21 ; 2020-10-01 ; 2020-10-02 ; 2020-10-04 ; 2020-10-06 ; 2020-11-01","https://masks4canada.org/2020/09/22/covid19-school-report-wrdsb-riverside-public-school/; https://masks4canada.org/2020/10/02/covid-19-school-report-huron-heights-ss/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-02T1545.html;https://masks4canada.org/2020/10/05/covid-19-school-report-huron-heights-ss-3/; https://kitchener.ctvnews.ca/huron-heights-reports-a-5th-student-with-covid-19-1.5135051;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-02T1545.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","Secondary","Kitchener","ON",43.394385,-80.4658099
"Williamsburg Public School","1 ; 1","1 ; 1",NA,"2020-09-21 ; 2020-11-30","https://masks4canada.org/2020/09/22/covid19-school-report-wrdsb-riverside-public-school/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-01T1545.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","Elementary","Kitchener","ON",43.4025632,-80.5041628
"Clemens Mill Public School","1 ; 1 ; 3 ; 3","1 ; 1 ; 3 ; 3",NA,"2020-09-21 ; 2020-11-23 ; 2020-12-02 ; 2020-12-13","https://masks4canada.org/2020/09/22/covid19-school-report-wrdsb-riverside-public-school/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-24T1545.html#Waterloo_Regional_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-03T1737.html#Waterloo_Regional_DSB_changed ;https://masks4canada.org/2020/12/06/covid-19-school-report-cases-and-outbreak/; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-13T1630.html#Waterloo_Regional_DSB_changed",1,"2020-12-02","Declared outbreak","Waterloo Regional DSB","Elementary","Cambridge","ON",43.3895866,-80.2921461
"Forest Heights Collegiate Institute","1 ; 1 ; 1 ; 1 ; 1 ; 1","1 ; 1 ; 1 ; 1 ; 1 ; 1",NA,"2020-09-21 ; 2020-11-27 ; 2020-11-29 ; 2020-12-01 ; 2020-12-07 ; 2020-12-15","https://masks4canada.org/2020/09/22/covid19-school-report-wrdsb-riverside-public-school/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-27T1545.html#Waterloo_Regional_DSB_changed ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-29T1545.html#Waterloo_Regional_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-02T1545.html#Waterloo_Regional_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-08T1730.html#Waterloo_Regional_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-16T1630.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","Secondary","Kitchener","ON",43.4258866,-80.5219633
"École Secondaire Catholique Saint-Charles-Garnier","1",NA,NA,"2020-09-18","https://www.cscmonavenir.ca/infos-covid-19/",0,NA,"Single/unlinked cases","CS catholique MonAvenir","Secondary","Whitby","ON",43.9176601,-78.9574461
"H.B. Beal Secondary School","1",NA,NA,"2020-09-22","https://masks4canada.org/2020/09/23/covid19-school-report-tvdsb-h-b-beal-secondary-school-september-22-2020/",0,NA,"Single/unlinked cases","Thames Valley DSB","Secondary","London","ON",42.9871095,-81.2345005
"Saint Albert Separate School","1","1",NA,"2020-09-22","https://www.tcdsb.org/FORSTUDENTS/back-to-school/Pages/confirmed-covid-cases.aspx;https://masks4canada.org/2020/09/25/tcdsb-2020-09-24/",0,NA,"Single/unlinked cases","Toronto CDSB","Elementary","Scarborough","ON",43.7437485,-79.2615589
"St. John Catholic School","1","1",NA,"2020-09-22","https://masks4canada.org/2020/09/22/tcdsb-2020-09-22/;https://www.tcdsb.org/FORSTUDENTS/back-to-school/Pages/confirmed-covid-cases.aspx",0,NA,"Single/unlinked cases","Toronto CDSB","Mixed","Toronto","ON",43.680233,-79.2945718
"École élémentaire catholique La Vérendrye","1;1;1;1;1","NA;NA;NA;NA;NA","NA;NA;NA;NA;NA","2020-09-21;2020-11-24;2020-12-09;2020-12-18;2020-12-21","https://masks4canada.org/2020/09/22/covid-19-school-report-cecce-schools-september-21-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-24T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;anada.org/daily_reports/SUMMARY-2020-12-09T1730.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-18T1630.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-21T1630.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",0,NA,"Single/unlinked cases","CECCE","Elementary","Ottawa","ON",45.4602769,-75.5976246
"STS Cosmas and Damian Catholic School","2;1;1;1;1","2;1;1;1","1","2020-09-22 ; 2020-09-28 ; 2020-10-31 ; 2020-11-11 ; 2020-12-03","https://masks4canada.org/2020/09/22/tcdsb-2020-09-22/ ; https://www.tcdsb.org/FORSTUDENTS/back-to-school/Pages/confirmed-covid-cases.aspx ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-09-28T1627.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-02T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-11T1612.html ;https://masks4canada.org/2020/11/18/tph-declared-covid-19-outbreaks-in-school/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-04T1545.html",1,"2020-11-16","Declared outbreak","Toronto CDSB","Mixed","Toronto","ON",43.7069322,-79.4447439
"École secondaire catholique Pierre-Savard","1;1;1;1;1","NA;1;NA;NA;NA","NA;NA;NA;NA;NA","2020-09-21;2020-10-13;2020-10-16;2020-10-19;2020-12-01","https://masks4canada.org/2020/09/22/covid-19-school-report-cecce-schools-september-21-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-13T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-16T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-19T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-01T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",0,NA,"Single/unlinked cases","CECCE","Secondary","Ottawa","ON",45.273133,-75.7369827
"Lord Elgin PS","1",NA,NA,"2020-09-22","https://masks4canada.org/2020/09/23/durham-dsb-2020-09-22/;https://docs.google.com/spreadsheets/d/1YBn91VaM5IqGhJ_OvShCIpoohIRc2yFI0OwYzBaEe20/edit#gid=0",0,NA,"Single/unlinked cases","Durham DSB","Mixed","Ajax","ON",43.856668,-79.026621
"St. Andrew Catholic Elementary School","1 ; 1 ; 1",NA,NA,"2020-09-22 ; 2020-11-18 ; 2020-12-01","https://masks4canada.org/2020/09/23/halton-cdsb-2020-09-22/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-18T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-01T1545.html",0,NA,"Single/unlinked cases","Halton CDSB","Elementary","Oakville","ON",43.4752063,-79.7193923
"St. Ignatius of Loyola Catholic Secondary School","1",NA,NA,"2020-09-22","https://masks4canada.org/2020/09/23/halton-cdsb-2020-09-22/",0,NA,"Single/unlinked cases","Halton CDSB","Secondary","Oakville","ON",43.4445535,-79.7335124
"École Secondaire Catholique L'Escale","1",NA,NA,"2020-09-22","https://masks4canada.org/2020/09/23/covid19-school-report-csdceo-schools-escale-september-22-2020/",0,NA,"Single/unlinked cases","CSDCEO","Secondary","Ottawa","ON",45.5496379,-75.2873353
"Preston High School","1","1",NA,"2020-09-22","https://masks4canada.org/2020/09/23/covid19-school-report-wrdsb-schools-september-22-2020/",0,NA,"Single/unlinked cases","Waterloo Regional DSB","Secondary","Cambridge","ON",43.3908104,-80.365343
"Forest Hill Public School","1","1",NA,"2020-09-22","https://masks4canada.org/2020/09/23/covid19-school-report-wrdsb-schools-september-22-2020/",0,NA,"Single/unlinked cases","Waterloo Regional DSB","Elementary","Kitchener","ON",43.4261387,-80.5057261
"Cameron Heights Collegiate Institute","2 ; 1 ; 1 ; 2 ; 1 ; 1","2 ; 1 ; 1 ; 2 ; 1 ; 1",NA,"2020-09-22 ; 2020-10-15 ; 2020-12-05 ; 2020-12-16 ; 2020-12-17 ; 2020-12-18","https://masks4canada.org/2020/09/23/covid19-school-report-wrdsb-schools-september-22-2020/ ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-15T1545.html#Waterloo_Regional_DSB_changed ; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-05T1545.html#Waterloo_Regional_DSB_changed; https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-17T1630.html#Waterloo_Regional_DSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-18T1630.html#Waterloo_Regional_DSB_changed ;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-19T1630.html#Waterloo_Regional_DSB_changed",0,NA,"Single/unlinked cases","Waterloo Regional DSB","Secondary","Kitchener","ON",43.4446408,-80.4817313
"Saint Alberts Catholic Elementary","1;1","1;1",NA,"2020-09-22 ; 2020-10-05","https://masks4canada.org/2020/09/23/covid-19-school-report-tcdsb-2020-09-22/;https://masks4canada.org/2020/10/05/toronto-cdsb-covid-19-advisory-2020-10-05/",0,NA,"Single/unlinked cases","Toronto CDSB","TBA","Scarborough","ON",43.7437485,-79.2615589
"Elementary School Catholic Sainte-Anne","1;1",NA,NA,"2020-09-07; 2020-09-23","https://ottawa.ctvnews.ca/mobile/ottawa-public-health-confirms-covid-19-cases-at-three-schools-1.5095309#_gus&_gucid=&_gup=Facebook&_gsc=ow4zQUJ;https://masks4canada.org/2020/09/22/covid-19-school-report-cecce-schools-september-21-2020/;https://masks4canada.org/2020/09/24/covid-19-school-report-cecce-school-update-ontario-phu-sep-23-2020/",0,NA,"Single/unlinked cases","CSDCEO","Elementary","Ottawa","ON",45.4321121,-75.6815439
"Ecole Gron Morgan Public School","1",NA,NA,"2020-09-23","https://masks4canada.org/2020/09/23/covid-19-school-report-ecole-gron-morgan-public-school/",0,NA,"Single/unlinked cases","TBA","Mixed","Thunder Bay","ON",48.4343047,-89.2457587
"Trille Des Bois - CEPEO","1;1","1;NA","NA;1","2020-09-23;2020-11-26","https://masks4canada.org/2020/09/24/covid19-school-report-cepeo-schools-sep-23-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-26T1545.html#Conseil_des_%C3%A9coles_publiques_de_l'Est_de_l'Ontario_(CEPEO)_changed",0,NA,"Single/unlinked cases","CEPEO","Elementary","Ottawa","ON",45.4405889,-75.6698113
"Onondaga Brant School","1",NA,NA,"2020-09-23","https://masks4canada.org/2020/09/24/covid19-school-report-grand-erie-dsb-sep-23-2020/",0,NA,"Single/unlinked cases","Grand Erie DSB","Elementary","Brantford","ON",43.1489448,-80.1735992
"Kitchener Waterloo Collegiate and Vocational School","1 ; 1 ; 1","1 ; 1","1","2020-09-23 ; 2020-09-25 ; 2020-11-24","https://masks4canada.org/2020/09/24/covid19-school-report-wrdsb-schools-september-23-2020/;https://masks4canada.org/2020/09/30/covid-19-school-report-kitchener-waterloo-collegiate-and-vocational-school/;https://masks4canada.org/2020/10/23/covid-19-school-report-waterloo-region-public-health/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-25T1545.html#Waterloo_Regional_DSB_changed",1,"2020-09-25","Declared outbreak","Waterloo Regional DSB","Secondary","Kitchener","ON",43.455668,-80.509026
"Guardian Angels Catholic Elementary School","1",NA,NA,"2020-09-23","https://masks4canada.org/2020/09/23/hamilton-wentworth-catholic-dsb-2020-09-23/",0,NA,"Single/unlinked cases","Hamilton-Wentworth CDSB","Elementary","Hamilton","ON",43.3440417,-79.9141138
"Spruce Glen Public School","1",NA,NA,"2020-09-23","https://masks4canada.org/2020/09/24/trillium-lakelands-dsb-2020-09-23/",0,NA,"Single/unlinked cases","Trillium Lakelands DSB","Mixed","Huntsville","ON",45.3458113,-79.2024198
"CollÃ¨ge catholique Samuel-Genest","1;1;1;1;1;1;2;1;1;1;1;1","1;1;NA;1;1;1;NA;NA;NA;NA;NA;NA","NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA","2020-09-23;2020-09-29;2020-09-30;2020-10-06;2020-10-08;2020-10-13;2020-10-14;2020-10-15; 2020-10-28;2020-11-02;2020-11-24;2020-11-30","https://masks4canada.org/2020/09/24/covid-19-school-report-cecce-school-update-ontario-phu-sep-23-2020/;https://masks4canada.org/2020/09/29/covid19-school-report-cecce-schools-ottawa-phu-list-sep-29-2020/;https://masks4canada.org/2020/09/30/covid19-school-report-cecce-schools-reported-by-ontario-phu-sep-30-2020/;https://masks4canada.org/2020/10/06/covid19-school-report-cecce-schools-oct-6-2020-reported-by-ontario-phu/;https://masks4canada.org/2020/10/08/covid19-school-report-cecce-schools-reported-by-ontario-phu-oct-8-2020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-13T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-14T2034.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-15T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-28T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-02T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-24T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-30T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",0,NA,"Single/unlinked cases","CECCE","Secondary","Ottawa","ON",45.4426619,-75.6302099
"École élémentaire catholique Alain-Fortin","1;1;1","1;1;NA","NA;NA;NA","2020-09-23;2020-10-02;2020-12-01","https://masks4canada.org/2020/09/24/covid-19-school-report-cecce-school-update-ontario-phu-sep-23-2020/;https://masks4canada.org/2020/10/03/covid19-school-report-cecce-schools-ontario-phu-report-oct-22020/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-12-01T1545.html#%C3%89coles_catholiques_Centre-Est_(CECCE)_changed",0,NA,"Single/unlinked cases","CECCE","Elementary","Orleans","ON",45.4474034,-75.4741483
"St. David Catholic Secondary School","1 ; 1 ; 1","1 ; 1 ; 1",NA,"2020-09-23 ; 2020-10-26 ; 2020-11-16","https://masks4canada.org/2020/09/24/waterloo-cdsb-2020-09-23/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-10-27T1545.html#Waterloo_CDSB_changed;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-17T1545.html#Waterloo_CDSB_changed",0,NA,"Single/unlinked cases","Waterloo CDSB","Secondary","Waterloo","ON",43.484228,-80.5294301
"William Hamilton Merritt Public School","1",NA,NA,"2020-09-23","https://masks4canada.org/2020/09/24/dsb-niagara-2020-09-23/",0,NA,"Single/unlinked cases","Niagara DSB","Mixed","St. Catharines","ON",43.1880023,-79.2566576
"St. Wilfrid Catholic School","1;1;1;1","1;1;1;1",NA,"2020-09-23 ; 2020-10-19 ; 2020-10-22 ; 2020-11-10","https://masks4canada.org/2020/09/24/toronto-cdsb-2020-09-23/;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-06T1545.html;https://covidschoolscanada.org/daily_reports/SUMMARY-2020-11-10T1545.html",0,NA,"Single/unlinked cases","Toronto CDSB","Elementary","North York","ON",43.7600685,-79.5025515
"Branksome Hall","1",NA,"1","2020-09-23","https://www.thestar.com/news/gta/2020/09/22/two-toronto-private-schools-confirm-covid-19-cases.html",0,NA,"Single/unlinked cases","Private","Mixed","Toronto","ON",43.6751328,-79.3800807
"The York School","2","2",NA,"2020-09-23","https://www.thestar.com/news/gta/2020/09/22/two-toronto-private-schools-confirm-covid-19-cases.html",0,NA,"Single/unlinked cases","Private","Mixed","Toronto","ON",43.6846194,-79.3928635
