"institute.name","School.board","City.x","School.Code","School.Name","Board.Name","City.y","mm","city_match"
"C C Carrothers Public School","Thames Valley DSB","London","072613","C C Carrothers Public School","Thames Valley DSB","London",0,TRUE
"Blessed Trinity Catholic School","Toronto CDSB","North York","690660","Blessed Trinity Catholic School","Toronto CDSB","North York",0,TRUE
"St. Joseph Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","814032","St. Joseph Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"John McCrae Public School","Upper Grand DSB","Guelph","284254","John McCrae Public School","Upper Grand DSB","Guelph",0,TRUE
"Central Huron Secondary School","Avon Maitland DSB","Clinton","899569","Central Huron Secondary School","Avon Maitland DSB","Clinton",0,TRUE
"Macphail Memorial Elementary School","Bluewater DSB","Flesherton","198978","Macphail Memorial Elementary School","Bluewater DSB","Flesherton",0,TRUE
"Saugeen District Senior School","Bluewater DSB","Port Elgin","290604","Saugeen District Senior School","Bluewater DSB","Port Elgin",0,TRUE
"Angus Morrison Elementary School","Simcoe County DSB","Angus","186236","Angus Morrison Elementary School","Simcoe County DSB","Angus",0,TRUE
"Waterford Public School","Grand Erie DSB","Waterford","001899","Waterford Public School","Grand Erie DSB","Waterford",0,TRUE
"London Central Secondary School","Thames Valley DSB","London","923745","London Central Secondary School","Thames Valley DSB","London",0,TRUE
"Stoney Creek Public School","Thames Valley DSB","London","586970","Stoney Creek Public School","Thames Valley DSB","London",0,TRUE
"Chicopee Hills Public School","Waterloo Regional DSB","Kitchener","634232","Chicopee Hills Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Glendale High School","Thames Valley DSB","Tillsonburg","912956","Glendale High School","Thames Valley DSB","Tillsonburg",0,TRUE
"Monsignor John Pereyma Catholic Secondary School","Dufferin-Peel CDSB","Oshawa","735060","Monsignor John Pereyma Catholic Secondary School","Durham CDSB","Oshawa",0,TRUE
"St Monica Catholic School","Dufferin-Peel CDSB","Pickering","835668","St Monica Catholic School","Durham CDSB","Pickering",0,TRUE
"All Saints Catholic School","Dufferin-Peel CDSB","Mississauga","685461","All Saints Catholic School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Our Lady of Fatima School","Dufferin-Peel CDSB","Brampton","742171","Our Lady of Fatima School","Dufferin-Peel CDSB","Brampton",0,TRUE
"Loyola Catholic Secondary School","Dufferin-Peel CDSB","Mississauga","798118","Loyola Catholic Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Notre Dame Catholic Secondary School","Dufferin-Peel CDSB","Brampton","690694","Notre Dame Catholic Secondary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"Ascension of Our Lord Secondary School","Dufferin-Peel CDSB","Mississauga","687308","Ascension of Our Lord Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"San Lorenzo Ruiz Elementary School","Dufferin-Peel CDSB","Mississauga","759481","San Lorenzo Ruiz Elementary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"St. Charles Garnier School","Dufferin-Peel CDSB","Mississauga","783161","St. Charles Garnier School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"St. Evan Catholic Elementary School","Dufferin-Peel CDSB","Caledon","860217","St. Evan Catholic Elementary School","Dufferin-Peel CDSB","Caledon",0,TRUE
"St. Josephine Bakhita Catholic Elementary School","Dufferin-Peel CDSB","Brampton","721020","St. Josephine Bakhita Catholic Elementary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"St. Joan of Arc Catholic Secondary School","Dufferin-Peel CDSB","Mississauga","696056","St. Joan of Arc Catholic Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Father Michael Goetz Secondary School","Dufferin-Peel CDSB","Mississauga","706957","Father Michael Goetz Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Cardinal Ambrozic Catholic Secondary School","Dufferin-Peel CDSB","Brampton","749813","Cardinal Ambrozic Catholic Secondary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"John Cabot Catholic Secondary School","Dufferin-Peel CDSB","Mississauga","724564","John Cabot Catholic Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Philip Pocock Catholic Secondary School","Dufferin-Peel CDSB","Mississauga","751430","Philip Pocock Catholic Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Holy Spirit Catholic Elementary School","Dufferin-Peel CDSB","Brampton","819219","Holy Spirit Catholic Elementary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"St. Oscar Romero Catholic Secondary School","Dufferin-Peel CDSB","Mississauga","736228","St. Oscar Romero Catholic Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Father Clair Tipping School","Dufferin-Peel CDSB","Brampton","706337","Father Clair Tipping School","Dufferin-Peel CDSB","Brampton",0,TRUE
"St. Bonaventure Catholic Elementary School","Dufferin-Peel CDSB","Brampton","684199","St. Bonaventure Catholic Elementary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"Monsignor Paul Dwyer Catholic High School","Dufferin-Peel CDSB","Oshawa","741310","Monsignor Paul Dwyer Catholic High School","Durham CDSB","Oshawa",0,TRUE
"St. Lucy Catholic Elementary School","Dufferin-Peel CDSB","Brampton","688182","St. Lucy Catholic Elementary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"St. Aidan Catholic Elementary School","Dufferin-Peel CDSB","Brampton","683246","St. Aidan Catholic Elementary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"Our Lady of Mount Carmel Secondary School","Dufferin-Peel CDSB","Mississauga","742333","Our Lady of Mount Carmel Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Pauline Vanier Catholic Elementary School","Dufferin-Peel CDSB","Brampton","750042","Pauline Vanier Catholic Elementary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"Cardinal Leger Secondary School","Dufferin-Peel CDSB","Brampton","850888","Cardinal Leger Secondary School","Dufferin-Peel CDSB","Brampton",0,TRUE
"St. Michael Catholic Secondary School","Dufferin-Peel CDSB","Bolton","864570","St. Michael Catholic Secondary School","Dufferin-Peel CDSB","Bolton",0,TRUE
"St. Teresa of Calcutta Catholic Elementary School","Dufferin-Peel CDSB","Mississauga","733229","St. Teresa of Calcutta Catholic Elementary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Mary Fix Catholic School","Dufferin-Peel CDSB","Mississauga","730742","Mary Fix Catholic School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"St Joseph Catholic School","Dufferin-Peel CDSB","Uxbridge","811696","St Joseph Catholic School","Durham CDSB","Uxbridge",0,TRUE
"Jacob Hespeler Secondary School","Waterloo Regional DSB","Cambridge","918555","Jacob Hespeler Secondary School","Waterloo Region DSB","Cambridge",0,TRUE
"Spencer Avenue Elementary School","Upper Grand DSB","Orangeville","477283","Spencer Avenue Elementary School","Upper Grand DSB","Orangeville",0,TRUE
"Erin District High School","Upper Grand DSB","Erin","909050","Erin District High School","Upper Grand DSB","Erin",0,TRUE
"Rosedale Elementary School","Hamilton-Wentworth DSB","Hamilton","490695","Rosedale Elementary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Eastwood Public School","Greater Essex County DSB","Windsor","164690","Eastwood Public School","Greater Essex County DSB","Windsor",0,TRUE
"Eastwood Collegiate Institute","Waterloo Regional DSB","Kitchener","907499","Eastwood Collegiate Institute","Waterloo Region DSB","Kitchener",0,TRUE
"King George VI Public School","Keewatin Patricia DSB","Kenora","296996","King George VI Public School","Keewatin-Patricia DSB","Kenora",0,TRUE
"Whitefish Valley Public School","Lakehead DSB","Kakabeka Falls","604992","Whitefish Valley Public School","Lakehead DSB","Kakabeka Falls",0,TRUE
"Immaculate Heart of Mary Catholic Elementary School","Hamilton-Wentworth CDSB","Stoney Creek","721972","Immaculate Heart of Mary Catholic Elementary School","Hamilton-Wentworth CDSB","Stoney Creek",0,TRUE
"St. Patrick Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","839779","St. Patrick Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Rick Hansen Public School","Thames Valley DSB","London","481017","Rick Hansen Public School","Thames Valley DSB","London",0,TRUE
"Metropolitan Andrei Catholic School","Dufferin-Peel CDSB","Mississauga","731447","Metropolitan Andrei Catholic School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"Chris Hadfield Public School","Durham DSB","Whitby","619779","Chris Hadfield Public School","Durham DSB","Whitby",0,TRUE
"Cecil B Stirling School","Hamilton-Wentworth DSB","Hamilton","089257","Cecil B Stirling School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Essex Public School","Greater Essex County DSB","Essex","334012","Essex Public School","Greater Essex County DSB","Essex",0,TRUE
"Central Public School","Greater Essex County DSB","Windsor","095885","Central Public School","Greater Essex County DSB","Windsor",0,TRUE
"École secondaire catholique Marie-Rivier","CECCE","Kingston","750085","École secondaire catholique Marie-Rivier","CSDC du Centre-Est de l'Ontario","Kingston",0,TRUE
"Port Rowan Public School","Grand Erie DSB","Port Rowan","451304","Port Rowan Public School","Grand Erie DSB","Port Rowan",0,TRUE
"Tottenham Public School","Simcoe County DSB","Tottenham","559075","Tottenham Public School","Simcoe County DSB","Tottenham",0,TRUE
"Teeterville Public School","Grand Erie DSB","Teeterville","403725","Teeterville Public School","Grand Erie DSB","Teeterville",0,TRUE
"Lakewood Elementary School","Grand Erie DSB","Port Dover","145602","Lakewood Elementary School","Grand Erie DSB","Port Dover",0,TRUE
"St. Leo School","Brant Haldimand Norfolk DSB","Brantford","818453","St. Leo School","Brant Haldimand Norfolk CDSB","Brantford",0,TRUE
"Mother Teresa Catholic Secondary School","London CDSB","London","733032","Mother Teresa Catholic Secondary School","London District Catholic School Board","London",0,TRUE
"Catholic Central High School","London CDSB","London","695734","Catholic Central High School","London District Catholic School Board","London",0,TRUE
"Sir James Whitney School for the Deaf","Provincial and Demonstration School Branch","Belleville","417572","Sir James Whitney School for the Deaf","Provincial and Demonstration Schools","Belleville",0,TRUE
"Sir James Whitney School for the Deaf","Provincial and Demonstration School Branch","Belleville","941840","Sir James Whitney School for the Deaf","Provincial and Demonstration Schools","Belleville",0,TRUE
"St. Angela Merici Catholic School","St Clair CDSB","Chatham","690762","St. Angela Merici Catholic School","St Clair CDSB","Chatham",0,TRUE
"Simcoe Composite School","Grand Erie DSB","Simcoe","941557","Simcoe Composite School","Grand Erie DSB","Simcoe",0,TRUE
"Resurrection School","Brant Haldimand Norfolk DSB","Brantford","753084","Resurrection School","Brant Haldimand Norfolk CDSB","Brantford",0,TRUE
"St Martin Secondary School","Dufferin-Peel CDSB","Mississauga","823953","St Martin Secondary School","Dufferin-Peel CDSB","Mississauga",0,TRUE
"St Theresa Catholic School","Dufferin-Peel CDSB","Whitby","852902","St Theresa Catholic School","Durham CDSB","Whitby",0,TRUE
"Lincoln Centennial Public School","Niagara DSB","St Catharines","313114","Lincoln Centennial Public School","DSB Niagara","St Catharines",0,TRUE
"École élémentaire LaMarsh","CS Viamonde","Niagara Falls","165000","École élémentaire LaMarsh","CS Viamonde","Niagara Falls",0,TRUE
"Paisley Road Public School","Upper Grand DSB","Guelph","431150","Paisley Road Public School","Upper Grand DSB","Guelph",0,TRUE
"Our Lady of Mount Carmel Catholic Elementary School","Hamilton-Wentworth CDSB","Carlisle","742350","Our Lady of Mount Carmel Catholic Elementary School","Hamilton-Wentworth CDSB","Carlisle",0,TRUE
"Brigadoon Public School","Waterloo Regional DSB","Kitchener","034355","Brigadoon Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Drayton Heights Public School","Upper Grand DSB","Drayton","148539","Drayton Heights Public School","Upper Grand DSB","Drayton",0,TRUE
"Wallaceburg District Secondary School","Lambton Kent DSB","Wallaceburg","950521","Wallaceburg District Secondary School","Lambton Kent DSB","Wallaceburg",0,TRUE
"Earl Kitchener Junior Public School","Hamilton-Wentworth DSB","Hamilton","158151","Earl Kitchener Junior Public School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Ryerson Middle School","Hamilton-Wentworth DSB","Hamilton","495379","Ryerson Middle School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Hillcrest Public School","Kawartha Pine Ridge DSB","Campbellford","256897","Hillcrest Public School","Kawartha Pine Ridge DSB","Campbellford",0,TRUE
"St. Michael Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","834220","St. Michael Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Sir Winston Churchill Secondary School","Hamilton-Wentworth DSB","Hamilton","942448","Sir Winston Churchill Secondary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"General Amherst High School","Greater Essex County DSB","Amherstburg","911780","General Amherst High School","Greater Essex County DSB","Amherstburg",0,TRUE
"Rickson Ridge Public School","Upper Grand DSB","Guelph","271678","Rickson Ridge Public School","Upper Grand DSB","Guelph",0,TRUE
"St. John Paul II Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","751553","St. John Paul II Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",0,TRUE
"Burford District Elementary School","Grand Erie DSB","Burford","070254","Burford District Elementary School","Grand Erie DSB","Burford",0,TRUE
"St. Mary Catholic Learning Centre","Brant Haldimand Norfolk DSB","Brantford","706139","St. Mary Catholic Learning Centre","Brant Haldimand Norfolk CDSB","Brantford",0,TRUE
"Harmony Heights Public School","Durham DSB","Oshawa","244791","Harmony Heights Public School","Durham DSB","Oshawa",0,TRUE
"Cardinal Carter Catholic Secondary School","WECDSB","Leamington","694452","Cardinal Carter Catholic Secondary School","Windsor-Essex CDSB","Leamington",0,TRUE
"Great Lakes Secondary School","Lambton Kent DSB","Sarnia","890861","Great Lakes Secondary School","Lambton Kent DSB","Sarnia",0,TRUE
"Roseville Public School","Greater Essex County DSB","Windsor","491764","Roseville Public School","Greater Essex County DSB","Windsor",0,TRUE
"David Maxwell Public School","Greater Essex County DSB","Windsor","134880","David Maxwell Public School","Greater Essex County DSB","Windsor",0,TRUE
"École élémentaire Jeanne-Lajoie","CS Viamonde","North York","282260","École élémentaire Jeanne-Lajoie","CS Viamonde","North York",0,TRUE
"Oakville Trafalgar High School","Halton DSB","Oakville","932060","Oakville Trafalgar High School","Halton DSB","Oakville",0,TRUE
"Sheridan Public School","Halton DSB","Oakville","510289","Sheridan Public School","Halton DSB","Oakville",0,TRUE
"Our Lady of Providence Catholic Elementary School","Brant Haldimand Norfolk DSB","Brantford","749125","Our Lady of Providence Catholic Elementary School","Brant Haldimand Norfolk CDSB","Brantford",0,TRUE
"J W Gerth Public School","Waterloo Regional DSB","Kitchener","486336","J W Gerth Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Norwood Park Elementary School","Hamilton-Wentworth DSB","Hamilton","412309","Norwood Park Elementary School","Hamilton-Wentworth DSB","Hamilton",0,TRUE
"Sheppard Public School","Waterloo Regional DSB","Kitchener","509159","Sheppard Public School","Waterloo Region DSB","Kitchener",0,TRUE
"Cedarland Public School","Grand Erie DSB","Brantford","089966","Cedarland Public School","Grand Erie DSB","Brantford",0,TRUE
"West Lynde Public School","Durham DSB","Whitby","325635","West Lynde Public School","Durham DSB","Whitby",0,TRUE
"Valley Farm Public School","Durham DSB","Pickering","569933","Valley Farm Public School","Durham DSB","PICKERING",1,FALSE
"École secondaire Jeunes sans frontieres","CS Viamonde","Brampton","907642","École secondaire Jeunes sans frontières","CS Viamonde","Brampton",1,TRUE
"St Marguerite d'Youville Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","821241","St. Marguerite d'Youville Catholic Elementary School","Halton CDSB","Oakville",1,FALSE
"St Marguerite d'Youville Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","821268","St. Marguerite d'Youville Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",1,TRUE
"St Marguerite d'Youville Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","757573","St Marguerite D'Youville Catholic Elementary School","York CDSB","RICHMOND HILL",1,FALSE
"École élémentaire catholique des Pins","CECCE","Gloucester","764264","École élémentaire catholique Des Pins","CSDC du Centre-Est de l'Ontario","Gloucester",1,TRUE
"Henry Street High School","Durham DSB","Whitby","916331","Henry Street High School","Durham DSB","WHITBY",1,FALSE
"Our Lady of Victory Catholic School","Toronto CDSB","York","749290","Our Lady of Victory Catholic School","Toronto CDSB","Toronto",1,FALSE
"King George Public School","Upper Grand DSB","Guelph","295698","King George Public School","Kawartha Pine Ridge DSB","Peterborough",1,FALSE
"St. James Catholic Elementary School","Niagara CDSB","St Catharines","799211","St James Catholic Elementary School","Niagara CDSB","St Catharines",1,TRUE
"St. James Catholic Elementary School","Niagara CDSB","St Catharines","798495","St James Catholic Elementary School","York CDSB","Maple",1,FALSE
"Havergal College","Private","North York","887242","Havergal College","Private","Toronto",1,FALSE
"Grey Highlands Secondary School","Bluewater DSB","Grey Highlands","914444","Grey Highlands Secondary School","Bluewater DSB","Flesherton",1,FALSE
"École élémentaire catholique des Pionniers","CECCE","Cumberland","703168","École élémentaire catholique Des Pionniers","CSDC du Centre-Est de l'Ontario","Orléans",1,FALSE
"Fred C. Cook Public School","Simcoe County DSB","Bradford","073065","Fred C Cook Public School","Simcoe County DSB","Bradford",1,TRUE
"St. Dominic Savio Catholic School","Waterloo CDSB","Kitchener","786756","St Dominic Savio Catholic School","Toronto CDSB","Toronto",1,FALSE
"James Macdonald Public School","Hamilton-Wentworth DSB","Hamilton","281492","James MacDonald Public School","Hamilton-Wentworth DSB","Hamilton",1,TRUE
"Orchard Park Secondary School","Hamilton-Wentworth DSB","Hamilton","932507","Orchard Park Secondary School","Hamilton-Wentworth DSB","Stoney Creek",1,FALSE
"Sherwood Public School","Durham DSB","Oshawa","531049","Sherwood Public School","Durham DSB","OSHAWA",1,FALSE
"Sherwood Public School","Durham DSB","Oshawa","032700","Sherwood Public School","Renfrew County DSB","Barry's Bay",1,FALSE
"Eagle Ridge Public School","Durham DSB","Ajax","165514","Eagle Ridge Public School","Durham DSB","AJAX",1,FALSE
"St. Anne Catholic School","St. Clair CDSB","Blenheim","770671","St Anne Catholic School","St Clair CDSB","Sarnia",1,FALSE
"St. Anne Catholic School","St. Clair CDSB","Blenheim","771295","St Anne Catholic School","St Clair CDSB","Blenheim",1,TRUE
"Saltfleet High School","Hamilton-Wentworth DSB","Hamilton","939730","Saltfleet High School","Hamilton-Wentworth DSB","Stoney Creek",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","815330","St Joseph Catholic School","Algonquin and Lakeshore CDSB","Belleville",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","811696","St Joseph Catholic School","Durham CDSB","Uxbridge",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","814423","St Joseph Catholic School","Durham CDSB","Oshawa",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","731870","St Joseph Catholic School","Huron-Superior CDSB","Wawa",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","809233","St Joseph Catholic School","St Clair CDSB","Corunna",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","811432","St Joseph Catholic School","St Clair CDSB","Tilbury",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","810525","St Joseph Catholic School","Sudbury CDSB","Killarney",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","811564","St Joseph Catholic School","Toronto CDSB","Toronto",1,TRUE
"St. Joseph Catholic School","Toronto CDSB","Toronto","808830","St Joseph Catholic School","Wellington CDSB","Guelph",1,FALSE
"St. Joseph Catholic School","Toronto CDSB","Toronto","806188","St Joseph Catholic School","Windsor-Essex CDSB","River Canard",1,FALSE
"Bright's Grove Public School","Lambton-Kent DSB","Brights Grove","063517","Bright's Grove Public School","Lambton Kent DSB","Bright's Grove",1,FALSE
"Corpus Christi Catholic Secondary School","Halton CDSB","Burlington","761182","Corpus Christi Catholic Secondary School","Halton CDSB","BURLINGTON",1,FALSE
"École élémentaire catholique Roger-Saint-Denis","CECCE","Ottawa","753203","École élémentaire catholique Roger-Saint-Denis","CSDC du Centre-Est de l'Ontario","Kanata",1,FALSE
"École élémentaire catholique d'enseignement personnalisé La Source","CSDCEO","OrlÃ©ans","703753","École élémentaire catholique d'enseignement personnalisé La Source","CSDC du Centre-Est de l'Ontario","Orléans",1,FALSE
"École élémentaire publique Maurice-Lapointe","CEPEO","Kanata","247352","École élémentaire publique Maurice-Lapointe","CÉP de l'Est de l'Ontario","KANATA",1,FALSE
"St. Gerald Catholic School","Toronto CDSB","North York","794678","St Gerald Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. John Vianney Catholic School","Simcoe Muskoka CDSB","Barrie","805866","St John Vianney Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. John Vianney Catholic School","Simcoe Muskoka CDSB","Barrie","781533","St John Vianney Catholic School","Windsor-Essex CDSB","Windsor",1,FALSE
"École élémentaire publique Ottawa Ouest","CEPEO","Ottawa","167811","École élémentaire publique Ottawa Ouest","CÉP de l'Est de l'Ontario","Nepean",1,FALSE
"St. John Catholic School","Toronto CDSB","Toronto","804282","St John Catholic School","Sudbury CDSB","Garson",1,FALSE
"St. John Catholic School","Toronto CDSB","Toronto","802336","St John Catholic School","Toronto CDSB","Toronto",1,TRUE
"St. John Catholic School","Toronto CDSB","Toronto","801550","St John Catholic School","Wellington CDSB","Guelph",1,FALSE
"École élémentaire catholique La Vérendrye","CECCE","Ottawa","725536","École élémentaire catholique La Vérendrye","CSDC du Centre-Est de l'Ontario","Gloucester",1,FALSE
"École secondaire catholique Pierre-Savard","CECCE","Ottawa","832670","École secondaire catholique Pierre-Savard","CSDC du Centre-Est de l'Ontario","Nepean",1,FALSE
"École élémentaire catholique Alain-Fortin","CECCE","Orleans","731385","École élémentaire catholique Alain-Fortin","CSDC du Centre-Est de l'Ontario","Orléans",1,FALSE
"St. David Catholic Secondary School","Waterloo CDSB","Waterloo","786217","St David Catholic Secondary School","Waterloo CDSB","Waterloo",1,TRUE
"William Hamilton Merritt Public School","Niagara DSB","St. Catharines","510530","William Hamilton Merritt Public School","DSB Niagara","St Catharines",1,FALSE
"St. Wilfrid Catholic School","Toronto CDSB","North York","858960","St Wilfrid Catholic School","Durham CDSB","Pickering",1,FALSE
"St. Wilfrid Catholic School","Toronto CDSB","North York","859036","St Wilfrid Catholic School","Toronto CDSB","Toronto",1,FALSE
"École élémentaire Laure-Riese","CS Viamonde","Scarborough","309192","École élémentaire Laure-Rièse","CS Viamonde","Scarborough",1,TRUE
"D'Arcy McGee Catholic School","Toronto CDSB","York","703001","D'Arcy McGee Catholic School","Toronto CDSB","Toronto",1,FALSE
"St Charles Garnier Catholic School","Toronto CDSB","North York","783510","St Charles Garnier Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. John Bosco Catholic School","Toronto CDSB","York","803022","St John Bosco Catholic School","CDSB of Eastern Ontario","Brockville",1,FALSE
"St. John Bosco Catholic School","Toronto CDSB","York","803057","St John Bosco Catholic School","Durham CDSB","Oshawa",1,FALSE
"St. John Bosco Catholic School","Toronto CDSB","York","850306","St John Bosco Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. John Bosco Catholic School","Toronto CDSB","York","858892","St John Bosco Catholic School","Wellington CDSB","Guelph",1,FALSE
"Our Lady of Grace Catholic School","Renfrew County CDSB","Westmeath","744565","Our Lady of Grace Catholic School","Toronto CDSB","Toronto",1,FALSE
"Port Perry High School","Durham DSB","Port Perry","936227","Port Perry High School","Durham DSB","PORT PERRY",1,FALSE
"Father Henry Carr Catholic Secondary School","Toronto CDSB","Etobicoke","707589","Father Henry Carr Catholic Secondary School","Toronto CDSB","Toronto",1,FALSE
"École élémentaire publique Jeanne-Sauvé","CEPEO","OrlÃ©ans","194239","École élémentaire publique Jeanne-Sauvé","CÉP de l'Est de l'Ontario","Orléans",1,FALSE
"École élémentaire catholique l'Étoile-de-l'Est","CECCE","OrlÃ©ans","865648","École élémentaire catholique L'Étoile-de-l'Est","CSDC du Centre-Est de l'Ontario","Orléans",1,FALSE
"École secondaire catholique Béatrice-Desloges","CECCE","OrlÃ©ans","705314","École secondaire catholique Béatrice-Desloges","CSDC du Centre-Est de l'Ontario","Orléans",1,FALSE
"École élémentaire La Mosaique","CS Viamonde","Toronto","019735","École élémentaire La Mosaïque","CS Viamonde","East York",1,FALSE
"St Gregory Elementary School","Toronto CDSB","Etobicoke","796093","St Gregory Elementary School","Ottawa CDSB","Nepean",1,FALSE
"Madonna Catholic Secondary School","Toronto CDSB","North York","729019","Madonna Catholic Secondary School","Toronto CDSB","Toronto",1,FALSE
"St. Columba Catholic School","Toronto CDSB","Scarborough","784990","St Columba Catholic School","Toronto CDSB","Toronto",1,FALSE
"École élémentaire publique Le Prélude","CEPEO","Orleans","540030","École élémentaire publique Le Prélude","CÉP de l'Est de l'Ontario","Orléans",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","815330","St Joseph Catholic School","Algonquin and Lakeshore CDSB","Belleville",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","811696","St Joseph Catholic School","Durham CDSB","Uxbridge",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","814423","St Joseph Catholic School","Durham CDSB","Oshawa",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","731870","St Joseph Catholic School","Huron-Superior CDSB","Wawa",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","809233","St Joseph Catholic School","St Clair CDSB","Corunna",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","811432","St Joseph Catholic School","St Clair CDSB","Tilbury",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","810525","St Joseph Catholic School","Sudbury CDSB","Killarney",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","811564","St Joseph Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Guelph","808830","St Joseph Catholic School","Wellington CDSB","Guelph",1,TRUE
"St. Joseph Catholic School","Wellington CDSB","Guelph","806188","St Joseph Catholic School","Windsor-Essex CDSB","River Canard",1,FALSE
"École élémentaire publique Des Sentiers","CEPEO","Orleans","417726","École élémentaire publique Des Sentiers","CÉP de l'Est de l'Ontario","Orléans",1,FALSE
"St. Maria Goretti Catholic School","Toronto CDSB","Scarborough","822353","St Maria Goretti Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Sylvester Catholic School","Toronto CDSB","Scarborough","851078","St Sylvester Catholic School","Toronto CDSB","Toronto",1,FALSE
"Immaculate Conception Catholic School","Toronto CDSB","North York","721212","Immaculate Conception Catholic School","Sudbury CDSB","Val Caron",1,FALSE
"Immaculate Conception Catholic School","Toronto CDSB","North York","721603","Immaculate Conception Catholic School","Toronto CDSB","Toronto",1,FALSE
"Immaculate Conception Catholic School","Toronto CDSB","North York","721735","Immaculate Conception Catholic School","Windsor-Essex CDSB","Windsor",1,FALSE
"École élémentaire catholique Sainte-Kateri","CECCE","Barrhaven Ward","733402","École élémentaire catholique Sainte-Kateri","CSDC du Centre-Est de l'Ontario","Ottawa",1,FALSE
"St. Thomas Aquinas High School","Kenora CDSB","Kenora","864471","St Thomas Aquinas High School","Kenora CDSB","Kenora",1,TRUE
"St. Thomas Aquinas High School","Kenora CDSB","Kenora","864617","St Thomas Aquinas High School","Kenora CDSB","Kenora",1,TRUE
"St. Peter Catholic School","Wellington CDSB","Guelph","845493","St Peter Catholic School","Algonquin and Lakeshore CDSB","Trenton",1,FALSE
"St. Peter Catholic School","Wellington CDSB","Guelph","868000","St Peter Catholic School","Wellington CDSB","Guelph",1,TRUE
"St. Peter Catholic School","Wellington CDSB","Guelph","844160","St Peter Catholic School","Windsor-Essex CDSB","Tecumseh",1,FALSE
